language pair	# of users
kaa-tr	2
fr-tun	2
api-fr	2
ar-tun	2
api-ar	2
nl-tun	2
api-nl	2
en-tun	2
api-en	2
api-tun	2
olo-ru	2
eo-os	2
als-pfl	2
en-pfl	2
ar-be	2
nl-ta	2
nl-te	2
pl-ta	2
pl-te	2
fr-sco	2
de-mn	2
mn-pt	2
gsw-hr	2
gan-zh	2
ba-it	2
az-ba	2
az-mn	2
az-sah	2
ba-kk	2
ba-mn	2
ba-sah	2
ba-uz	2
hr-la	2
hr-tt	2
kk-mn	2
kk-sah	2
mn-sah	2
mn-tt	2
mn-uz	2
sah-tt	2
sah-uz	2
uk-uz	2
sn-so	2
crh-en	2
az-cv	2
az-zh	2
cv-kk	2
cv-ky	2
cv-mn	2
cv-sah	2
cv-tt	2
cv-zh	2
ky-mn	2
ky-sah	2
ky-zh	2
mn-zh	2
ro-sh	2
ru-sh	2
sah-zh	2
tt-zh	2
ba-krc	2
ba-ky	2
krc-ky	2
krc-tt	2
krc-uz	2
ja-moz	2
sh-uk	2
lt-tt	2
lv-tt	2
bua-mn	2
ru-udm	2
hu-sh	2
de-udm	2
de-rue	2
ru-tyv	2
kk-tyv	2
ug-zh	2
la-sh	2
ady-tr	1
ang-pl	1
ckb-ur	1
br-ca	1
ast-eo	1
ast-bg	1
ast-ga	1
ast-ru	1
ast-ext	1
en-mhl	1
hi-mhl	1
Az-Azb	1
Az-Tk	1
Az-Tr	1
Az-Tt	1
Az-Ug	1
Az-Uz	1
Azb-Tk	1
Azb-Tr	1
Azb-Tt	1
Azb-Ug	1
Azb-Uz	1
Tk-Tr	1
Tk-Tt	1
Tk-Ug	1
Tk-Uz	1
Tr-Tt	1
Tr-Ug	1
Tr-Uz	1
Tt-Ug	1
Tt-Uz	1
Ug-Uz	1
ru-tly	1
ar-ceb	1
be-be-x-old	1
be-x-old-en	1
be-x-old-kk	1
be-x-old-ru	1
bg-en-GB	1
en-GB-mk	1
en-GB-ru	1
bn-ne	1
en-lo	1
lo-th	1
ca-vls	1
de-vls	1
ca-vsv	1
en-vsv	1
es-vsv	1
gl-oc	1
de-oc	1
co-en	1
co-fr	1
co-it	1
csb-de	1
csb-pl	1
arc-cs	1
arc-de	1
arc-la	1
be-sk	1
cs-yi	1
eo-yi	1
sk-yi	1
blr-cs	1
blr-pl	1
blr-sk	1
bo-cs	1
bo-ja	1
en-mat	1
mat-pl	1
el-hsb	1
eo-et	1
es-hsb	1
et-hsb	1
et-no	1
et-ro	1
et-sk	1
fi-hsb	1
hsb-it	1
hsb-no	1
hsb-ru	1
hsb-sk	1
hsb-sv	1
cs-szl	1
cs-css	1
css-en	1
css-sk	1
fr-yi	1
sk-vi	1
da-simple	1
de-diq	1
bg-ca	1
ca-fa	1
en-lus	1
de-swg	1
en-swg	1
simple-zh-Hant	1
simple-zh-Hans	1
dz-en	1
als-fr	1
ayl-bn	1
ayl-de	1
ayl-el	1
ayl-en	1
ayl-eo	1
ayl-grc	1
ayl-la	1
ayl-mk	1
ayl-nv	1
ayl-pnt	1
ayl-sq	1
ayl-sr	1
ayl-uk	1
bn-eo	1
bn-grc	1
bn-la	1
bn-mk	1
bn-nv	1
bn-pnt	1
bn-sq	1
bn-sr	1
de-nv	1
de-pnt	1
el-nv	1
eo-grc	1
eo-mk	1
eo-nv	1
eo-sq	1
grc-nv	1
grc-pnt	1
la-nv	1
la-pnt	1
mk-nv	1
mk-pnt	1
mk-uk	1
nv-pnt	1
nv-sq	1
nv-sr	1
nv-uk	1
pnt-sq	1
sq-uk	1
st-tn	1
af-ar	1
af-bg	1
af-bn	1
af-cs	1
af-da	1
af-fa	1
af-fi	1
af-ga	1
af-he	1
af-hi	1
af-hu	1
af-id	1
af-is	1
af-ja	1
af-ms	1
af-no	1
af-pl	1
af-ro	1
af-sl	1
af-sv	1
af-th	1
af-tl	1
af-tr	1
af-ur	1
af-vi	1
af-zh	1
ar-bg	1
ar-bn	1
ar-ga	1
ar-hr	1
ar-is	1
ar-ro	1
ar-sl	1
bg-bn	1
bg-ga	1
bg-he	1
bg-hi	1
bg-id	1
bg-kk	1
bg-ko	1
bg-ms	1
bg-sl	1
bg-th	1
bg-tl	1
bg-ur	1
bg-vi	1
bg-zh	1
bn-cs	1
bn-da	1
bn-es	1
bn-fa	1
bn-fi	1
bn-ga	1
bn-he	1
bn-hr	1
bn-hu	1
bn-id	1
bn-is	1
bn-ja	1
bn-kk	1
bn-ko	1
bn-ms	1
bn-nl	1
bn-no	1
bn-pl	1
bn-pt	1
bn-ro	1
bn-sl	1
bn-sv	1
bn-th	1
bn-tl	1
bn-tr	1
bn-vi	1
bn-zh	1
cs-fa	1
cs-ga	1
cs-hi	1
cs-id	1
cs-kk	1
cs-ms	1
cs-th	1
cs-tl	1
cs-ur	1
da-fa	1
da-ga	1
da-hi	1
da-id	1
da-kk	1
da-ms	1
da-sl	1
da-th	1
da-tl	1
da-ur	1
el-id	1
el-ms	1
el-sl	1
el-th	1
el-tl	1
el-ur	1
el-vi	1
es-th	1
fa-ga	1
fa-hr	1
fa-hu	1
fa-id	1
fa-is	1
fa-ko	1
fa-ms	1
fa-ro	1
fa-sl	1
fa-th	1
fa-tl	1
fa-vi	1
fa-zh	1
fi-hi	1
fi-id	1
fi-kk	1
fi-ms	1
fi-sl	1
fi-th	1
fi-tl	1
fi-ur	1
fi-vi	1
ga-he	1
ga-hi	1
ga-hr	1
ga-hu	1
ga-id	1
ga-is	1
ga-kk	1
ga-ko	1
ga-ms	1
ga-nl	1
ga-no	1
ga-pl	1
ga-ro	1
ga-sl	1
ga-th	1
ga-tl	1
ga-tr	1
ga-ur	1
ga-vi	1
ga-zh	1
he-hi	1
he-hr	1
he-is	1
he-kk	1
he-ms	1
he-sl	1
he-th	1
he-tl	1
he-ur	1
he-vi	1
hi-hr	1
hi-hu	1
hi-is	1
hi-kk	1
hi-ko	1
hi-ms	1
hi-ro	1
hi-sl	1
hi-tr	1
hi-uk	1
hi-vi	1
hr-id	1
hr-ko	1
hr-ms	1
hr-th	1
hr-tl	1
hr-ur	1
hr-vi	1
hu-id	1
hu-kk	1
hu-ms	1
hu-th	1
hu-tl	1
hu-ur	1
hu-vi	1
id-is	1
id-nl	1
id-sl	1
id-uk	1
id-ur	1
id-vi	1
is-kk	1
is-ko	1
is-ms	1
is-sl	1
is-th	1
is-tl	1
is-ur	1
is-vi	1
it-th	1
ja-sl	1
ja-ur	1
kk-nl	1
kk-no	1
kk-sl	1
kk-sv	1
kk-th	1
kk-tl	1
kk-ur	1
kk-vi	1
ko-sl	1
ko-th	1
ko-tl	1
ko-ur	1
ms-nl	1
ms-no	1
ms-sl	1
ms-sv	1
ms-th	1
ms-uk	1
ms-ur	1
ms-vi	1
nl-sl	1
nl-th	1
nl-tl	1
no-sl	1
no-ur	1
pl-sl	1
pl-th	1
pl-tl	1
pt-ur	1
ro-th	1
ro-tl	1
ro-ur	1
ro-vi	1
ru-vi	1
sl-sv	1
sl-th	1
sl-tl	1
sl-tr	1
sl-ur	1
sl-vi	1
sl-zh	1
sv-ur	1
sv-vi	1
th-tr	1
th-uk	1
th-ur	1
th-vi	1
tl-tr	1
tl-uk	1
tl-ur	1
tl-vi	1
tr-ur	1
tr-vi	1
uk-ur	1
ur-vi	1
ur-zh	1
afh-avk	1
afh-bs	1
afh-ca	1
afh-cs	1
afh-el	1
afh-eml	1
afh-en	1
afh-eo	1
afh-es	1
afh-ess	1
afh-fi	1
afh-fr	1
afh-fuf	1
afh-fur	1
afh-gd	1
afh-gu	1
afh-hu	1
afh-it	1
afh-ja	1
afh-jbo	1
afh-kg	1
afh-ko	1
afh-mus	1
afh-nds-NL	1
afh-no	1
afh-pl	1
afh-pnt	1
afh-pon	1
afh-qu	1
afh-ru	1
afh-se	1
afh-simple	1
afh-sjn	1
afh-sk	1
afh-sl	1
afh-sn	1
afh-sr	1
afh-sv	1
afh-tlh	1
afh-uk	1
afh-zh	1
avk-bs	1
avk-ca	1
avk-cs	1
avk-el	1
avk-eml	1
avk-en	1
avk-eo	1
avk-es	1
avk-ess	1
avk-fi	1
avk-fr	1
avk-fuf	1
avk-fur	1
avk-gd	1
avk-gu	1
avk-hu	1
avk-it	1
avk-ja	1
avk-jbo	1
avk-kg	1
avk-ko	1
avk-mus	1
avk-nds-NL	1
avk-no	1
avk-pl	1
avk-pnt	1
avk-pon	1
avk-qu	1
avk-ru	1
avk-se	1
avk-simple	1
avk-sjn	1
avk-sk	1
avk-sl	1
avk-sn	1
avk-sr	1
avk-sv	1
avk-tlh	1
avk-uk	1
avk-zh	1
bs-ca	1
bs-eml	1
bs-ess	1
bs-fi	1
bs-fuf	1
bs-fur	1
bs-gd	1
bs-gu	1
bs-ja	1
bs-jbo	1
bs-kg	1
bs-mus	1
bs-nds-NL	1
bs-pnt	1
bs-pon	1
bs-se	1
bs-sjn	1
bs-sn	1
bs-tlh	1
bs-uk	1
ca-ess	1
ca-fuf	1
ca-gu	1
ca-jbo	1
ca-kg	1
ca-mus	1
ca-nds-NL	1
ca-pnt	1
ca-pon	1
ca-qu	1
ca-se	1
ca-sjn	1
ca-sk	1
ca-sn	1
ca-tlh	1
cs-eml	1
cs-ess	1
cs-fuf	1
cs-gd	1
cs-gu	1
cs-jbo	1
cs-kg	1
cs-mus	1
cs-nds-NL	1
cs-pnt	1
cs-pon	1
cs-qu	1
cs-se	1
cs-sjn	1
cs-sn	1
cs-tlh	1
el-eml	1
el-ess	1
el-fuf	1
el-fur	1
el-gd	1
el-gu	1
el-jbo	1
el-kg	1
el-mus	1
el-nds-NL	1
el-pon	1
el-qu	1
el-se	1
el-simple	1
el-sjn	1
el-sn	1
el-tlh	1
eml-eo	1
eml-ess	1
eml-fi	1
eml-fuf	1
eml-fur	1
eml-gd	1
eml-gu	1
eml-hu	1
eml-ja	1
eml-jbo	1
eml-kg	1
eml-ko	1
eml-mus	1
eml-nds-NL	1
eml-no	1
eml-pl	1
eml-pnt	1
eml-pon	1
eml-qu	1
eml-ru	1
eml-se	1
eml-sjn	1
eml-sk	1
eml-sl	1
eml-sn	1
eml-sr	1
eml-sv	1
eml-tlh	1
eml-uk	1
eml-zh	1
en-ess	1
en-fuf	1
en-jbo	1
en-kg	1
en-mus	1
en-nds-NL	1
en-pon	1
en-sn	1
eo-ess	1
eo-fuf	1
eo-fur	1
eo-gd	1
eo-gu	1
eo-hu	1
eo-kg	1
eo-mus	1
eo-nds-NL	1
eo-pon	1
eo-qu	1
eo-se	1
eo-sjn	1
eo-sl	1
eo-sn	1
eo-tlh	1
es-ess	1
es-fuf	1
es-gu	1
es-jbo	1
es-kg	1
es-mus	1
es-nds-NL	1
es-pnt	1
es-pon	1
es-se	1
es-sjn	1
es-sn	1
ess-fi	1
ess-fr	1
ess-fuf	1
ess-fur	1
ess-gd	1
ess-gu	1
ess-hu	1
ess-it	1
ess-ja	1
ess-jbo	1
ess-kg	1
ess-ko	1
ess-mus	1
ess-nds-NL	1
ess-no	1
ess-pl	1
ess-pnt	1
ess-pon	1
ess-qu	1
ess-ru	1
ess-se	1
ess-simple	1
ess-sjn	1
ess-sk	1
ess-sl	1
ess-sn	1
ess-sr	1
ess-sv	1
ess-tlh	1
ess-uk	1
ess-zh	1
fi-fuf	1
fi-fur	1
fi-gd	1
fi-gu	1
fi-jbo	1
fi-kg	1
fi-mus	1
fi-nds-NL	1
fi-pnt	1
fi-pon	1
fi-qu	1
fi-simple	1
fi-sjn	1
fi-tlh	1
fr-fuf	1
fr-gu	1
fr-jbo	1
fr-mus	1
fr-nds-NL	1
fr-pnt	1
fr-pon	1
fr-qu	1
fr-se	1
fuf-fur	1
fuf-gd	1
fuf-gu	1
fuf-hu	1
fuf-it	1
fuf-ja	1
fuf-jbo	1
fuf-kg	1
fuf-ko	1
fuf-mus	1
fuf-nds-NL	1
fuf-no	1
fuf-pl	1
fuf-pnt	1
fuf-pon	1
fuf-qu	1
fuf-ru	1
fuf-se	1
fuf-simple	1
fuf-sjn	1
fuf-sk	1
fuf-sl	1
fuf-sn	1
fuf-sr	1
fuf-sv	1
fuf-tlh	1
fuf-uk	1
fuf-zh	1
fur-gd	1
fur-gu	1
fur-hu	1
fur-ja	1
fur-jbo	1
fur-kg	1
fur-ko	1
fur-mus	1
fur-nds-NL	1
fur-no	1
fur-pl	1
fur-pnt	1
fur-pon	1
fur-qu	1
fur-ru	1
fur-se	1
fur-simple	1
fur-sjn	1
fur-sk	1
fur-sl	1
fur-sn	1
fur-sr	1
fur-sv	1
fur-tlh	1
fur-uk	1
fur-zh	1
gd-gu	1
gd-hu	1
gd-it	1
gd-jbo	1
gd-kg	1
gd-ko	1
gd-mus	1
gd-nds-NL	1
gd-no	1
gd-pl	1
gd-pnt	1
gd-pon	1
gd-qu	1
gd-se	1
gd-simple	1
gd-sjn	1
gd-sk	1
gd-sl	1
gd-sn	1
gd-sr	1
gd-sv	1
gd-tlh	1
gd-zh	1
gu-hu	1
gu-it	1
gu-ja	1
gu-jbo	1
gu-kg	1
gu-ko	1
gu-mus	1
gu-nds-NL	1
gu-no	1
gu-pl	1
gu-pnt	1
gu-pon	1
gu-qu	1
gu-ru	1
gu-se	1
gu-simple	1
gu-sjn	1
gu-sk	1
gu-sl	1
gu-sn	1
gu-sr	1
gu-sv	1
gu-tlh	1
gu-uk	1
gu-zh	1
hu-jbo	1
hu-kg	1
hu-mus	1
hu-nds-NL	1
hu-pnt	1
hu-pon	1
hu-qu	1
hu-se	1
hu-simple	1
hu-sjn	1
hu-sn	1
hu-tlh	1
it-jbo	1
it-kg	1
it-mus	1
it-nds-NL	1
it-pnt	1
it-pon	1
it-qu	1
it-se	1
it-sjn	1
it-sn	1
ja-jbo	1
ja-kg	1
ja-mus	1
ja-nds-NL	1
ja-pnt	1
ja-pon	1
ja-qu	1
ja-se	1
ja-sjn	1
ja-sn	1
jbo-kg	1
jbo-ko	1
jbo-mus	1
jbo-nds-NL	1
jbo-no	1
jbo-pl	1
jbo-pnt	1
jbo-pon	1
jbo-qu	1
jbo-ru	1
jbo-se	1
jbo-simple	1
jbo-sjn	1
jbo-sk	1
jbo-sl	1
jbo-sn	1
jbo-sr	1
jbo-sv	1
jbo-tlh	1
jbo-uk	1
jbo-zh	1
kg-ko	1
kg-mus	1
kg-nds-NL	1
kg-no	1
kg-pl	1
kg-pnt	1
kg-pon	1
kg-qu	1
kg-ru	1
kg-se	1
kg-simple	1
kg-sjn	1
kg-sk	1
kg-sl	1
kg-sn	1
kg-sr	1
kg-sv	1
kg-tlh	1
kg-uk	1
kg-zh	1
ko-mus	1
ko-nds-NL	1
ko-pnt	1
ko-pon	1
ko-se	1
ko-simple	1
ko-sjn	1
ko-sk	1
ko-sn	1
ko-sr	1
ko-tlh	1
mus-nds-NL	1
mus-no	1
mus-pl	1
mus-pnt	1
mus-pon	1
mus-qu	1
mus-ru	1
mus-se	1
mus-simple	1
mus-sjn	1
mus-sk	1
mus-sl	1
mus-sn	1
mus-sr	1
mus-sv	1
mus-tlh	1
mus-uk	1
mus-zh	1
nds-NL-no	1
nds-NL-pl	1
nds-NL-pnt	1
nds-NL-pon	1
nds-NL-qu	1
nds-NL-ru	1
nds-NL-se	1
nds-NL-simple	1
nds-NL-sjn	1
nds-NL-sk	1
nds-NL-sl	1
nds-NL-sn	1
nds-NL-sr	1
nds-NL-sv	1
nds-NL-tlh	1
nds-NL-uk	1
nds-NL-zh	1
no-pnt	1
no-pon	1
no-qu	1
no-sjn	1
no-sn	1
no-tlh	1
pl-pnt	1
pl-pon	1
pl-se	1
pl-sjn	1
pl-sn	1
pl-tlh	1
pnt-pon	1
pnt-qu	1
pnt-ru	1
pnt-se	1
pnt-simple	1
pnt-sjn	1
pnt-sk	1
pnt-sl	1
pnt-sn	1
pnt-sv	1
pnt-tlh	1
pnt-zh	1
pon-qu	1
pon-ru	1
pon-se	1
pon-simple	1
pon-sjn	1
pon-sk	1
pon-sl	1
pon-sn	1
pon-sr	1
pon-sv	1
pon-tlh	1
pon-uk	1
pon-zh	1
qu-se	1
qu-simple	1
qu-sjn	1
qu-sk	1
qu-sn	1
qu-sr	1
qu-sv	1
qu-tlh	1
qu-uk	1
ru-se	1
ru-sn	1
ru-tlh	1
se-simple	1
se-sjn	1
se-sk	1
se-sl	1
se-sn	1
se-sr	1
se-tlh	1
se-uk	1
se-zh	1
simple-sjn	1
simple-sn	1
simple-sv	1
simple-uk	1
sjn-sk	1
sjn-sl	1
sjn-sn	1
sjn-sr	1
sjn-sv	1
sjn-tlh	1
sk-sn	1
sk-tlh	1
sl-sn	1
sl-tlh	1
sn-sr	1
sn-sv	1
sn-tlh	1
sn-uk	1
sn-zh	1
sr-tlh	1
sv-tlh	1
tlh-uk	1
tlh-zh	1
en-su	1
bn-hif	1
ar-arq	1
ar-shy	1
arq-ru	1
arq-shy	1
fr-shy	1
ru-shy	1
ar-mt	1
es-mt	1
fr-mt	1
ar-en-GB	1
as-en	1
az-sr	1
hy-sr	1
bh-en	1
bh-hi	1
bh-mai	1
bh-ne	1
hi-mai	1
bho-en	1
bho-hif	1
bho-mai	1
bho-ne	1
hif-mai	1
bjm-ckb	1
bjm-diq	1
bjm-hac	1
bjm-kiu	1
bjm-ku	1
bjm-lki	1
bjm-sdb	1
bjm-sdf	1
bjm-sdh	1
ckb-diq	1
ckb-hac	1
ckb-kiu	1
ckb-lki	1
ckb-sdb	1
ckb-sdf	1
diq-hac	1
diq-lki	1
diq-sdb	1
diq-sdf	1
diq-sdh	1
hac-kiu	1
hac-ku	1
hac-lki	1
hac-sdb	1
hac-sdf	1
hac-sdh	1
kiu-ku	1
kiu-lki	1
kiu-sdb	1
kiu-sdf	1
kiu-sdh	1
ku-lki	1
ku-sdb	1
ku-sdf	1
lki-sdb	1
lki-sdf	1
lki-sdh	1
sdb-sdf	1
sdb-sdh	1
sdf-sdh	1
hif-te	1
cdo-zh-CN	1
ceb-fil	1
fil-hil	1
fil-tl	1
hil-ru	1
cy-en-GB	1
cy-fi	1
cy-ja	1
en-fy	1
fy-nl	1
ja-vec	1
de-pap	1
en-pap	1
es-pap	1
nl-pap	1
de-fy	1
de-frr	1
en-frr	1
fil-pam	1
pam-tl	1
th-tts	1
en-zh-classic	1
zh-zh-classic	1
zh-classic-zh-hant	1
hif-pa	1
hif-pnb	1
hif-ur	1
en-ss	1
hi-sa	1
hi-yue	1
sa-yue	1
sa-zh	1
en-hsn	1
hsn-yue	1
hsn-zh	1
en-kha	1
en-hoc	1
hi-hoc	1
ml-ta	1
en-CA-fr	1
en-so	1
en-sat	1
hi-sat	1
or-sat	1
en-frc	1
fr-frc	1
frc-simple	1
af-ca	1
af-lfn	1
ca-lfn	1
de-lfn	1
en-lfn	1
es-lfn	1
fr-lfn	1
it-lfn	1
ko-lfn	1
lfn-pt	1
lfn-ru	1
als-pt	1
am-es	1
be-ca	1
oc-pl	1
an-fr	1
an-gl	1
an-pt	1
an-it	1
an-la	1
es-io	1
fr-io	1
io-la	1
ja-lfn	1
lfn-tl	1
de-en-gb	1
en-gb-es	1
en-gb-nl	1
en-gb-tr	1
ar-gl	1
de-eu	1
eu-gl	1
eu-la	1
eu-pt	1
eu-sv	1
gl-sv	1
ar-arc	1
arc-es	1
arn-es	1
en-mwl	1
es-mwl	1
fr-mwl	1
gl-mwl	1
mwl-pt	1
ast-eu	1
hy-tk	1
ka-tk	1
br-pt	1
gn-pt	1
es-ku	1
ca-lt	1
gl-nl	1
ca-tr	1
ca-mur	1
en-mur	1
es-mur	1
ca-cas	1
ca-da	1
da-gl	1
gl-ja	1
gl-ko	1
gl-zh	1
gl-pt-BR	1
ca-en-gb	1
ch-es	1
chr-es	1
chr-he	1
chr-ja	1
chr-zh-yue	1
es-zh-yue	1
he-zh-yue	1
ja-zh-yue	1
qya-zh	1
qya-zh-min-nan	1
sjn-zh-min-nan	1
zh-zh-min-nan	1
cy-es	1
cy-it	1
cy-pt	1
es-yi	1
ja-yi	1
ro-scn	1
es-pnb	1
en-yua	1
es-yua	1
de-ext	1
ext-fr	1
ext-pt	1
de-pt-br	1
en-pt-br	1
de-zh-min-nan	1
de-en-GB	1
en-GB-tr	1
gl-gsw	1
he-sh	1
fr-gn	1
es-fax	1
fax-gl	1
fax-pt	1
es-tokipona	1
en-ln	1
eu-zh	1
ext-la	1
eo-tr	1
en-tpi	1
eo-tpi	1
es-tpi	1
fr-tpi	1
en-nah	1
gn-it	1
es-lzz	1
ka-lzz	1
ka-pt	1
lzz-pt	1
et-zh	1
en-vro	1
et-nl	1
azb-tr	1
en-qxq	1
fa-qxq	1
luz-qxq	1
en-glk	1
en-mzn	1
fa-glk	1
fa-mzn	1
glk-mzn	1
fr-mzn	1
de-frp	1
eo-frp	1
frp-pt	1
gsw-sq	1
frp-scn	1
bi-en	1
bi-es	1
bi-fr	1
de-tlh	1
arq-ary	1
arq-de	1
arq-en	1
ary-de	1
bm-fr	1
ca-rm	1
nl-rm	1
pt-rm	1
rm-ro	1
rm-simple	1
ro-simple	1
egl-vec	1
simple-vec	1
en-mfe	1
fr-mfe	1
da-gsw	1
en-mo	1
fr-mo	1
it-mo	1
mo-ro	1
mo-ru	1
fr-sch	1
en-nrm	1
fr-nrm	1
frp-nrm	1
it-nrm	1
de-lzh	1
de-sa	1
es-sa	1
fr-lzh	1
fr-sa	1
lzh-sa	1
fr-rw	1
fr-gcf	1
kg-ln	1
es-kab	1
et-hu	1
oc-ro	1
en-rw	1
rw-sw	1
fil-fr	1
en-tly	1
gag-tly	1
cmn-ms	1
en-gom	1
gom-hi	1
en-gb-ta	1
ady-he	1
he-tokipona	1
anp-hi	1
ame-en	1
ame-id	1
bgz-en	1
bgz-id	1
bgz-ms	1
bgz-xmm	1
en-xmm	1
id-xmm	1
ms-xmm	1
ca-jv	1
en-rej	1
id-rej	1
en-ie	1
ie-it	1
ie-scn	1
en-ig	1
io-sv	1
ar-eo	1
ang-fr	1
ang-it	1
lmo-vec	1
nap-pt	1
lmo-tr	1
de-eml	1
it-lzh	1
ar-vec	1
arc-it	1
bn-bpy	1
bar-fr	1
bar-gsw	1
gsw-it	1
bar-la	1
bar-sq	1
bar-rm	1
be-hr	1
bs-pms	1
de-pms	1
el-pms	1
pms-ro	1
nap-sv	1
ca-lld	1
es-lld	1
it-lld	1
ca-lmo	1
fr-sdc	1
de-vec	1
en-lld	1
la-lld	1
lld-vec	1
no-vec	1
sv-vec	1
la-nds	1
lij-pms	1
fur-la	1
nap-zh	1
fr-lij	1
grc-lmo	1
scn-vec	1
en-to	1
fr-to	1
it-to	1
fur-vec	1
la-scn	1
la-lij	1
ia-nl	1
grc-vec	1
eml-lmo	1
lld-sv	1
scn-zh	1
lmo-rm	1
pms-vec	1
gsw-nap	1
el-scn	1
de-lij	1
de-fur	1
it-jv	1
hu-la	1
de-lld	1
ro-vec	1
gsw-nl	1
it-lb	1
el-gsw	1
es-lij	1
eo-nap	1
scn-sq	1
lmo-pms	1
la-pms	1
it-ve	1
lmo-ro	1
lmo-uk	1
eo-vec	1
ru-sc	1
lmo-nap	1
it-rgn	1
it-kea	1
it-si	1
ru-scn	1
pl-vec	1
grc-nap	1
ko-lmo	1
it-sw	1
hr-vec	1
rm-scn	1
ru-vec	1
ia-scn	1
en-roa-Tara	1
hu-scn	1
eo-pms	1
ko-sq	1
en-sdc	1
lmo-ru	1
sw-vec	1
eo-ga	1
fr-yue	1
de-sxu	1
en-sxu	1
bn-lo	1
az-lt	1
de-kaa	1
de-tk	1
kaa-lt	1
lt-tk	1
ady-kbd	1
en-ki	1
ky-lv	1
fi-gsw	1
bn-sa	1
hi-ks	1
ks-nl	1
ks-pa	1
ks-ur	1
nl-pa	1
br-kk	1
br-ru	1
en-zea	1
nl-zea	1
de-at-en	1
de-at-simple	1
en-gb-la	1
lez-uk	1
de-AT-en	1
de-AT-li	1
de-AT-nl	1
en-lrc	1
fa-lrc	1
lrc-luz	1
bqi-luz	1
es-mr	1
cv-nl	1
my-shn	1
da-got	1
da-nds	1
eo-got	1
eo-nds	1
got-vi	1
nds-vi	1
es-nn	1
nn-zh	1
fr-nn	1
nb-no	1
gn-no	1
nn-pl	1
nl-nn	1
nb-nl	1
gsw-no	1
fa-nb	1
fa-nn	1
hi-nb	1
hi-nn	1
ku-nb	1
fi-nn	1
nn-se	1
lt-no	1
en-nso	1
fr-pnb	1
en-pdc	1
pdc-ru	1
de-pdc	1
fr-pdc	1
fr-pfl	1
pdc-pfl	1
hif-simple	1
en-wym	1
pl-wym	1
pa-ru	1
pnb-ru	1
bal-ps	1
ab-es	1
ab-pt-BR	1
af-gl	1
ar-pt-BR	1
bar-eo	1
man-ru	1
man-uk	1
bra-en	1
de-sc	1
pt-sc	1
ca-nap	1
eml-he	1
eml-lad	1
eml-nap	1
la-lad	1
lad-nap	1
nap-vec	1
cr-pt	1
fr-nb	1
nb-pt	1
pt-sa	1
lb-pt	1
de-shs	1
en-shs	1
de-mff	1
de-win	1
en-mff	1
en-win	1
mff-win	1
de-ee	1
ee-es	1
ee-it	1
ee-nl	1
ee-pt	1
it-pt-BR	1
pt-seh	1
pih-pt	1
pt-BR-simple	1
et-pt	1
pt-umb	1
de-rn	1
en-rn	1
kk-rue	1
en-xmf	1
ka-xmf	1
ru-xmf	1
ar-kbd	1
fr-kbd	1
be-orv	1
be-rue	1
bg-orv	1
bg-rue	1
cu-orv	1
cu-rue	1
en-orv	1
orv-ru	1
orv-rue	1
orv-uk	1
ab-ru	1
en-gos	1
gos-nl	1
af-az	1
af-ba	1
af-la	1
af-mn	1
af-sah	1
af-tg	1
af-tt	1
af-uz	1
az-el	1
az-hr	1
az-la	1
az-tg	1
ba-de	1
ba-el	1
ba-es	1
ba-hr	1
ba-la	1
ba-tg	1
ba-uk	1
de-sah	1
de-tg	1
de-tt	1
de-uz	1
el-mn	1
el-sah	1
el-tg	1
el-tt	1
el-uz	1
en-mn	1
en-sah	1
es-mn	1
es-sah	1
es-tg	1
es-tt	1
es-uz	1
hr-mn	1
hr-sah	1
hr-tg	1
hr-uz	1
it-mn	1
it-sah	1
it-tg	1
it-uz	1
kk-la	1
kk-tg	1
la-mn	1
la-sah	1
la-tg	1
la-tt	1
la-uz	1
mn-ru	1
mn-tg	1
mn-uk	1
ru-sah	1
sah-tg	1
sah-uk	1
tg-tt	1
tg-uk	1
agx-lez	1
agx-rut	1
agx-tab	1
agx-tkr	1
lez-rut	1
lez-tab	1
lez-tkr	1
rut-tab	1
rut-tkr	1
tab-tkr	1
alt-ru	1
fa-la	1
en-CA-ru	1
en-CA-uk	1
ang-cu	1
ang-de	1
ang-non	1
ang-ru	1
ang-sq	1
ang-sr	1
cu-grc	1
cu-non	1
cu-sq	1
de-non	1
en-non	1
grc-non	1
non-ru	1
non-sq	1
non-sr	1
he-simple	1
be-he	1
be-et	1
et-he	1
ce-ru	1
ce-en	1
ce-sv	1
ce-la	1
be-sco	1
ru-sco	1
sco-uk	1
be-bn	1
arc-fr	1
arc-he	1
arc-ru	1
arc-uk	1
es-sw	1
av-en	1
av-ru	1
ar-ce	1
kbd-pt	1
ar-sn	1
ar-so	1
da-sn	1
da-so	1
fi-so	1
ar-cu	1
ar-rue	1
ar-tt	1
az-be	1
az-cu	1
az-rue	1
be-la	1
be-tr	1
be-tt	1
cu-la	1
cu-tt	1
fr-rue	1
la-pl	1
la-rue	1
la-tr	1
pl-rue	1
pl-tt	1
rue-tr	1
rue-tt	1
ar-crh	1
crh-sv	1
ar-av	1
ar-lez	1
ar-rut	1
ar-ba	1
ar-grc	1
fa-grc	1
ar-uz	1
fr-uz	1
av-de	1
av-fa	1
av-tr	1
ru-udi	1
ka-ku	1
ku-pl	1
ku-ru	1
be-tk	1
tk-uk	1
ce-tr	1
az-tkr	1
ru-tkr	1
