language pair	# of users
sq-tr	27
sq-zh	27
sr-sv	27
sr-zh	27
sv-tr	27
tr-zh	27
fa-tg	26
da-eo	26
eo-fr	25
be-ru	24
id-ms	24
en-tg	23
de-gsw	23
cdo-en	22
fa-ru	22
ru-tg	22
cdo-zh	21
en-th	21
ar-ja	21
bg-en	21
bg-ru	21
bs-hr	21
bs-sr	21
es-la	21
bs-en	20
en-ms	19
sh-sr	19
ar-fa	19
eo-ru	19
ja-ko	19
nb-sv	17
en-gsw	17
ar-es	17
lt-ru	17
ca-la	17
be-en	17
fr-simple	17
eo-es	16
en-tl	16
he-ru	16
ca-pt	15
eo-pt	15
ar-de	15
eo-uk	15
en-ku	15
en-sh	15
it-vec	15
ca-he	15
ca-ru	15
pl-uk	15
eo-it	14
ky-ru	14
ar-ru	14
cu-en	14
de-lb	14
en-lb	14
fr-lb	14
bg-de	14
cs-la	14
ar-pt	14
hr-sh	14
zh-zh-yue	14
en-ml	13
ka-ru	13
eml-it	13
en-hif	13
la-oc	13
ru-tt	13
be-uk	13
id-jv	13
en-te	13
eo-ia	13
tr-uk	13
tk-tr	13
es-fa	13
en-scn	13
en-ta	13
ast-fr	12
ast-it	12
ca-eo	12
eml-fr	12
eml-la	12
en-ky	12
kk-ky	12
en-ur	12
ise-it	12
bs-de	12
en-io	12
az-ru	12
bs-sh	12
hi-te	12
pl-szl	12
kk-uk	12
eo-nl	12
fr-he	12
fa-fr	12
en-en-GB	11
gl-pt	11
ca-de	11
ise-scn	11
en-sl	11
bn-hi	11
id-zh	11
bg-fr	11
hi-ur	11
fr-tl	11
en-sco	11
la-ru	11
de-he	11
es-he	11
az-tk	11
id-min	10
en-hy	10
ar-it	10
bjn-id	10
es-scn	10
fr-scn	10
de-sl	10
io-ja	10
io-ko	10
grc-it	10
en-tt	10
de-hi	10
ja-tl	10
pt-tl	10
es-tl	10
kk-tr	10
be-pl	10
da-nn	10
ko-zh	10
it-simple	10
cs-et	9
ast-ro	9
en-ka	9
egl-eml	9
egl-fr	9
egl-it	9
egl-la	9
cmn-en	9
cu-pl	9
en-ext	9
es-ext	9
de-nds	9
en-nds	9
id-pt	9
bg-uk	9
bg-da	9
en-jv	9
de-li	9
ar-tr	9
en-lad	9
es-lad	9
la-pt	9
es-simple	9
ku-tr	9
ar-pl	9
cs-eo	9
lt-lv	9
eo-lfn	9
ia-lfn	9
fr-vec	9
en-sgs	8
lt-sgs	8
ckb-en	8
cr-es	8
ca-gl	8
bg-es	8
ar-zh	8
ceb-en	8
hi-no	8
hi-ru	8
id-ru	8
id-sv	8
eo-pl	8
de-fa	8
bar-de	8
en-vec	8
eo-ja	8
el-la	8
fa-ku	8
kk-tt	8
ky-tr	8
it-uk	8
et-ru	8
fr-id	8
hy-ru	8
en-uz	8
ru-uz	8
en-vi	8
he-lad	8
he-pt	8
ar-he	8
eml-simple	8
la-simple	8
en-hrx	8
hrx-pt	8
hi-ta	8
en-tlh	8
eo-jbo	8
fr-tlh	8
it-nap	8
eo-ie	8
eo-io	8
eo-nov	8
eo-vo	8
ia-ie	8
ia-io	8
ia-jbo	8
ia-nov	8
ia-vo	8
ie-io	8
ie-jbo	8
ie-lfn	8
ie-nov	8
ie-vo	8
io-jbo	8
io-lfn	8
io-nov	8
io-vo	8
jbo-lfn	8
jbo-nov	8
jbo-vo	8
lfn-nov	8
lfn-vo	8
nov-vo	8
en-kl	8
simple-zh-hans	7
simple-zh-hant	7
ang-en	7
arz-cr	7
arz-cu	7
arz-en	7
arz-es	7
arz-ext	7
arz-ja	7
arz-ml	7
arz-pl	7
cr-cu	7
cr-en	7
cr-ext	7
cr-ja	7
cr-ml	7
cr-pl	7
cu-es	7
cu-ext	7
cu-ja	7
cu-ml	7
es-ml	7
ext-ja	7
ext-ml	7
ext-pl	7
ja-ml	7
ml-pl	7
fr-gl	7
ca-el	7
en-ga	7
eo-gsw	7
ceb-ru	7
ceb-tl	7
de-th	7
ja-th	7
th-zh	7
be-bg	7
ar-az	7
de-ko	7
ko-ru	7
en-ia	7
zh-cn-zh-hans	7
ar-ckb	7
ckb-fa	7
fa-sdh	7
ky-uk	7
ar-cs	7
ar-sk	7
ar-uk	7
az-hy	7
cs-hy	7
cs-uk	7
hy-pl	7
hy-sk	7
sk-uk	7
eo-sk	7
nan-zh	7
hr-sl	7
en-zh-Hant	7
zh-Hans-zh-Hant	7
fr-ms	7
et-it	7
en-tk	7
lad-pt	7
fi-se	7
he-it	7
he-tr	7
ta-ur	7
fa-ja	7
fa-pt	7
fr-hi	7
ms-zh	7
es-tlh	7
ja-simple	7
ja-tlh	7
simple-tlh	7
en-fo	7
ar-kl	7
es-kl	7
fr-kl	7
ja-kl	7
kl-pt	7
pt-simple	7
ang-grc	6
ang-la	6
en-en-CA	6
es-ko	6
as-bn	6
as-hi	6
ar-no	6
ar-sv	6
hi-id	6
hi-ja	6
hi-pt	6
hi-sv	6
hi-th	6
hi-zh	6
id-ja	6
id-no	6
id-th	6
id-tl	6
no-th	6
no-tl	6
pt-th	6
ru-th	6
ru-tl	6
sv-th	6
be-cu	6
bg-cu	6
cu-ru	6
cu-uk	6
bg-pl	6
el-grc	6
bg-la	6
de-sh	6
hi-ne	6
bs-ru	6
ca-ja	6
fr-ia	6
ia-ja	6
it-tl	6
ca-ro	6
en-pt-BR	6
ar-ku	6
ar-sdh	6
ar-tg	6
ckb-sdh	6
ckb-tg	6
en-sdh	6
sdh-tg	6
es-sco	6
az-cs	6
az-pl	6
az-sk	6
az-uk	6
hy-tr	6
hy-uk	6
it-sl	6
en-zh-Hans	6
pl-simple	6
he-pl	6
es-qu	6
es-sl	6
yue-zh-Hant	6
he-uk	6
de-simple	6
de-lad	6
fr-ko	6
ko-pt	6
kk-uz	6
de-ta	6
de-ur	6
es-hi	6
en-sc	6
it-sc	6
eml-en	6
cmn-zh	6
cy-en	6
da-fo	6
fo-sv	6
en-lzh	6
hi-pa	6
te-ur	6
tr-uz	6
ta-te	6
it-pms	6
ar-iu	6
ar-simple	6
ar-tlh	6
en-iu	6
es-iu	6
fa-iu	6
fa-kl	6
fa-simple	6
fa-tlh	6
